Sample_ID,Timestamp,Ground_Truth_Class,Predicted_Threat_Class,Confidence_Score (%),Physical_Actual_Signal (tcp.len),Digital_Twin_Forecast (tcp.len),Mean_Continuous_Residual,Operational_Filter_Decision,Filter_Reason,Primary_SHAP_Risk_Driver,Operational_Outcome,Industrial_Protection_Benefit
26,2026-08-23 11:42:09,DDoS_UDP,DDoS_UDP,99.96,0.0,0.0,67412.6087,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
27,2026-08-23 11:42:10,XSS,XSS,99.89,0.0,0.0,6799.0343,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
28,2026-08-23 11:42:10,XSS,XSS,96.62,102.0,0.0,421324.4172,PASS,High-fidelity alert: Confidence (96.6%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
29,2026-08-23 11:42:11,Uploading,XSS,67.36,0.0,0.0,135.3939,PASS,High-fidelity alert: Confidence (67.4%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
30,2026-08-23 11:42:11,Uploading,Uploading,99.28,0.0,0.0,2882.2215,PASS,High-fidelity alert: Confidence (99.3%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
31,2026-08-23 11:42:12,Ransomware,Ransomware,99.81,0.0,0.0,95416.0692,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
32,2026-08-23 11:42:12,MITM,MITM,37.84,0.0,0.0,2328.0244,SUPPRESS,Alert suppressed: Low model confidence (37.8% < 65.0%).,arp.opcode,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
33,2026-08-23 11:42:13,Uploading,Uploading,99.04,0.0,0.0,661.5497,PASS,High-fidelity alert: Confidence (99.0%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
34,2026-08-23 11:42:13,Ransomware,Ransomware,99.96,0.0,0.0,32895.1699,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
35,2026-08-23 11:42:14,DDoS_ICMP,DDoS_ICMP,99.94,0.0,0.0,10149.8804,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
36,2026-08-23 11:42:14,DDoS_TCP,DDoS_TCP,99.94,0.0,0.0,2710.7926,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
37,2026-08-23 11:42:15,DDoS_UDP,DDoS_UDP,99.97,0.0,0.0,283493.3588,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
38,2026-08-23 11:42:15,DDoS_UDP,DDoS_UDP,99.97,0.0,0.0,240960.7327,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
39,2026-08-23 11:42:16,SQL_injection,SQL_injection,88.8,313.0,0.86,748.1723,PASS,High-fidelity alert: Confidence (88.8%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
40,2026-08-23 11:42:16,Backdoor,Backdoor,99.96,536.0,0.0,207044.0671,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
41,2026-08-23 11:42:17,Vulnerability_scanner,Vulnerability_scanner,99.94,160.0,0.0,6231.9448,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
42,2026-08-23 11:42:17,DDoS_UDP,DDoS_UDP,99.96,0.0,0.0,82923.4687,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
43,2026-08-23 11:42:18,Vulnerability_scanner,Vulnerability_scanner,99.95,495.0,0.0,40124.0285,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
44,2026-08-23 11:42:18,Password,Password,97.42,86.0,0.0,632996.982,PASS,High-fidelity alert: Confidence (97.4%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
45,2026-08-23 11:42:19,Ransomware,Ransomware,99.59,0.0,0.0,2148.0153,PASS,High-fidelity alert: Confidence (99.6%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
46,2026-08-23 11:42:19,DDoS_TCP,DDoS_TCP,99.93,0.0,0.0,6763.8367,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
47,2026-08-23 11:42:20,DDoS_TCP,DDoS_TCP,99.92,120.0,0.81,132953514.8868,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
48,2026-08-23 11:42:20,DDoS_TCP,DDoS_TCP,99.96,120.0,3.16,175798533.3639,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
49,2026-08-23 11:42:21,Normal,Normal,99.96,1440.0,2.48,6870723.7207,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
50,2026-08-23 11:42:21,Port_Scanning,Port_Scanning,99.84,0.0,0.0,3672.5339,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
51,2026-08-23 11:42:22,MITM,MITM,23.84,0.0,0.0,2593.6855,SUPPRESS,Alert suppressed: Low model confidence (23.8% < 65.0%).,arp.opcode,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
52,2026-08-23 11:42:22,Fingerprinting,Fingerprinting,98.5,0.0,0.0,7532.5106,PASS,High-fidelity alert: Confidence (98.5%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
53,2026-08-23 11:42:23,SQL_injection,SQL_injection,93.74,0.0,0.0,153.6996,PASS,High-fidelity alert: Confidence (93.7%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
54,2026-08-23 11:42:23,Uploading,Uploading,99.05,0.0,0.0,235.0638,PASS,High-fidelity alert: Confidence (99.1%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
55,2026-08-23 11:42:24,Fingerprinting,Fingerprinting,99.27,0.0,0.0,4921.282,PASS,High-fidelity alert: Confidence (99.3%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
56,2026-08-23 11:42:24,MITM,Ransomware,26.58,0.0,0.0,3326.4406,SUPPRESS,Alert suppressed: Low model confidence (26.6% < 65.0%).,tcp.len,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
57,2026-08-23 11:42:25,Backdoor,Backdoor,99.94,0.0,0.0,63485.462,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
58,2026-08-23 11:42:25,DDoS_UDP,DDoS_UDP,99.94,0.0,0.0,12239.4917,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
59,2026-08-23 11:42:26,DDoS_TCP,DDoS_TCP,99.94,120.0,4.51,12498834.4601,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
60,2026-08-23 11:42:26,Port_Scanning,Port_Scanning,99.85,0.0,0.0,247959.4529,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
61,2026-08-23 11:42:27,MITM,MITM,99.8,5353.0,0.0,7877.7638,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['arp.opcode'] match known domain mechanics.,arp.opcode,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
62,2026-08-23 11:42:27,Fingerprinting,Fingerprinting,88.24,0.0,0.0,9503.2111,PASS,High-fidelity alert: Confidence (88.2%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
63,2026-08-23 11:42:28,DDoS_UDP,DDoS_UDP,99.94,0.0,0.0,12379.7189,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
64,2026-08-23 11:42:28,Backdoor,Backdoor,99.95,400.0,47.92,93783.3521,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
65,2026-08-23 11:42:29,Password,Password,97.96,0.0,0.0,9771.5279,PASS,High-fidelity alert: Confidence (98.0%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
66,2026-08-23 11:42:29,DDoS_UDP,DDoS_UDP,99.95,0.0,0.0,246814.8823,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
67,2026-08-23 11:42:30,DDoS_TCP,DDoS_TCP,99.91,120.0,0.0,24300066.1632,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
68,2026-08-23 11:42:30,Ransomware,Ransomware,99.96,0.0,0.0,63346.981,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
69,2026-08-23 11:42:31,Uploading,Uploading,99.86,149.0,0.0,4457.3356,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
70,2026-08-23 11:42:31,DDoS_HTTP,DDoS_HTTP,79.61,0.0,0.0,7157.8976,PASS,High-fidelity alert: Confidence (79.6%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
71,2026-08-23 11:42:32,DDoS_TCP,DDoS_TCP,99.94,120.0,0.58,46362232.2312,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
72,2026-08-23 11:42:32,Password,Password,97.13,302.0,2.66,3267.6662,PASS,High-fidelity alert: Confidence (97.1%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
73,2026-08-23 11:42:33,Normal,Normal,99.97,2.0,1.1,2323.8277,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
74,2026-08-23 11:42:33,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,4522.8032,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
75,2026-08-23 11:42:34,Normal,Normal,99.95,0.0,0.0,208.5708,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
76,2026-08-23 11:42:34,Vulnerability_scanner,Vulnerability_scanner,99.94,153.0,9.23,2820.8863,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
77,2026-08-23 11:42:35,MITM,MITM,99.87,5353.0,3.71,3396.499,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['arp.opcode'] match known domain mechanics.,arp.opcode,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
78,2026-08-23 11:42:35,Fingerprinting,Ransomware,41.2,0.0,0.0,7332.8435,SUPPRESS,Alert suppressed: Low model confidence (41.2% < 65.0%).,tcp.len,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
79,2026-08-23 11:42:36,DDoS_UDP,DDoS_UDP,99.95,0.0,0.0,79720.6615,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
80,2026-08-23 11:42:36,Port_Scanning,Port_Scanning,99.94,0.0,0.0,192479797.7855,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
81,2026-08-23 11:42:37,Ransomware,Ransomware,99.87,0.0,0.0,64508918.8729,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
82,2026-08-23 11:42:37,Backdoor,Backdoor,99.96,0.0,0.0,124434.9676,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
83,2026-08-23 11:42:38,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,15913.4204,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
84,2026-08-23 11:42:38,Normal,Normal,99.95,0.0,0.0,3894.9722,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
85,2026-08-23 11:42:39,Password,Password,99.65,429.0,10.1,1416.888,PASS,High-fidelity alert: Confidence (99.6%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
86,2026-08-23 11:42:39,Backdoor,Backdoor,99.95,0.0,0.0,167982.3831,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
87,2026-08-23 11:42:40,MITM,Ransomware,34.69,0.0,0.0,3398.6594,SUPPRESS,Alert suppressed: Low model confidence (34.7% < 65.0%).,tcp.len,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
88,2026-08-23 11:42:40,Port_Scanning,Port_Scanning,99.94,0.0,0.0,69940274.6577,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
89,2026-08-23 11:42:41,Normal,Normal,99.94,32.0,1.29,3560864.281,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
90,2026-08-23 11:42:41,Port_Scanning,Port_Scanning,99.86,0.0,0.0,3312.7253,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
91,2026-08-23 11:42:42,SQL_injection,SQL_injection,99.79,0.0,0.0,513.4942,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
92,2026-08-23 11:42:42,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,10890.5485,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
93,2026-08-23 11:42:43,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,4902.0267,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
94,2026-08-23 11:42:43,XSS,XSS,51.89,0.0,0.0,832.1938,SUPPRESS,Alert suppressed: Low model confidence (51.9% < 65.0%).,http.content_length,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
95,2026-08-23 11:42:44,Ransomware,Ransomware,99.94,0.0,0.0,7401.1227,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
96,2026-08-23 11:42:44,DDoS_UDP,DDoS_UDP,99.95,0.0,0.0,154635.0062,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
97,2026-08-23 11:42:45,DDoS_UDP,DDoS_UDP,99.95,0.0,0.0,222101.7885,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
98,2026-08-23 11:42:45,DDoS_HTTP,DDoS_HTTP,99.49,0.0,0.0,243.7094,PASS,High-fidelity alert: Confidence (99.5%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
